Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WeatherClient\WeatherClient.Console.csproj,File,WeatherClient\WeatherClient.Console.csproj,,,Microsoft.Extensions.Hosting 10.0.0-preview.6.25358.103,,,,,"Microsoft.Extensions.Hosting, 10.0.0-preview.6.25358.103  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WeatherClient\WeatherClient.Console.csproj,File,WeatherClient\WeatherClient.Console.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WeatherClient\WeatherClient.Console.csproj,File,WeatherClient\Program.cs,37,4,T:System.Uri,,,,,"clientTransport = new SseClientTransport(new()      {          Endpoint = new Uri(""http://localhost:3001"")      });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WeatherClient\WeatherClient.Console.csproj,File,WeatherClient\Program.cs,37,4,M:System.Uri.#ctor(System.String),,,,,"clientTransport = new SseClientTransport(new()      {          Endpoint = new Uri(""http://localhost:3001"")      });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WeatherClient\WeatherClient.Console.csproj,File,WeatherClient\Program.cs,37,4,T:System.Uri,,,,,"clientTransport = new SseClientTransport(new()      {          Endpoint = new Uri(""http://localhost:3001"")      });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WeatherClient\WeatherClient.Console.csproj,File,WeatherClient\Program.cs,14,0,"M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder,System.Action{Microsoft.Extensions.Logging.Console.ConsoleLoggerOptions})",,,,,builder.Logging.AddConsole(options =>  {      options.LogToStandardErrorThreshold = LogLevel.Trace;  });
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WeatherClient.Mvc\WeatherClient.Web.Mvc.csproj,File,WeatherClient.Mvc\WeatherClient.Web.Mvc.csproj,,,Microsoft.Extensions.Hosting 10.0.0-preview.6.25358.103,,,,,"Microsoft.Extensions.Hosting, 10.0.0-preview.6.25358.103  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WeatherClient.Mvc\WeatherClient.Web.Mvc.csproj,File,WeatherClient.Mvc\WeatherClient.Web.Mvc.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WeatherClient.Mvc\WeatherClient.Web.Mvc.csproj,File,WeatherClient.Mvc\Controllers\ChatController.cs,52,12,T:System.Uri,,,,,"var mcpClient = await McpClientFactory.CreateAsync(                  new SseClientTransport(                      new SseClientTransportOptions                      {                          Endpoint = new Uri(""https://localhost:7145/sse"")                      }                  )              );"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WeatherClient.Mvc\WeatherClient.Web.Mvc.csproj,File,WeatherClient.Mvc\Controllers\ChatController.cs,52,12,M:System.Uri.#ctor(System.String),,,,,"var mcpClient = await McpClientFactory.CreateAsync(                  new SseClientTransport(                      new SseClientTransportOptions                      {                          Endpoint = new Uri(""https://localhost:7145/sse"")                      }                  )              );"
